Season,W,L,T
1934,10,3,0
1935,7,3,2
1936,8,4,0
1937,7,4,0
1938,7,4,0
1939,6,5,0
1940,5,5,1
1941,4,6,1
1942,0,11,0
1943,3,6,1
1944,6,3,1
1945,7,3,0
1946,1,10,0
1947,3,9,0
1948,2,10,0
1949,4,8,0
1950,6,6,0
1951,7,4,1
1952,9,3,0
1953,10,2,0
1954,9,2,1
1955,3,9,0
1956,9,3,0
1957,8,4,0
1958,4,7,1
1959,3,8,1
1960,7,5,0
1961,8,5,1
1962,11,3,0
1963,5,8,1
1964,7,5,2
1965,6,7,1
1966,4,9,1
1967,5,7,2
1968,4,8,2
1969,9,4,1
1970,10,4,0
1971,7,6,1
1972,8,5,1
1973,6,7,1
1974,7,7,0
1975,7,7,0
1976,6,8,0
1977,6,8,0
1978,7,9,0
1979,2,14,0
1980,9,7,0
1981,8,8,0
1982,4,5,0
1983,9,7,0
1984,4,11,1
1985,7,9,0
1986,5,11,0
1987,4,11,0
1988,4,12,0
1989,7,9,0
1990,6,10,0
1991,12,4,0
1992,5,11,0
1993,10,6,0
1994,9,7,0
1995,10,6,0
1996,5,11,0
1997,9,7,0
1998,5,11,0
1999,8,8,0
2000,9,7,0
2001,2,14,0
2002,3,13,0
2003,5,11,0
2004,6,10,0
2005,5,11,0
2006,3,13,0
2007,7,9,0
2008,0,16,0
2009,2,14,0
2010,6,10,0
2011,10,6,0
2012,4,12,0
2013,7,9,0
2014,11,5,0
2015,7,9,0
2016,9,7,0
2017,9,7,0
2018,6,10,0
2019,3,12,1