Season,Wins,Losses
1901,74,61
1902,52,83
1903,65,71
1904,62,90
1905,79,74
1906,71,78
1907,92,58
1908,90,63
1909,98,54
1910,86,68
1911,89,65
1912,69,84
1913,66,87
1914,80,73
1915,100,54
1916,87,67
1917,78,75
1918,55,71
1919,80,60
1920,61,93
1921,71,82
1922,79,75
1923,83,71
1924,86,68
1925,81,73
1926,79,75
1927,82,71
1928,68,86
1929,70,84
1930,75,79
1931,61,93
1932,76,75
1933,75,79
1934,101,53
1935,93,58
1936,83,71
1937,89,65
1938,84,70
1939,81,73
1940,90,64
1941,75,79
1942,73,81
1943,78,76
1944,88,66
1945,88,65
1946,92,62
1947,85,69
1948,78,76
1949,87,67
1950,95,59
1951,73,81
1952,50,104
1953,60,94
1954,68,86
1955,79,75
1956,82,72
1957,78,76
1958,77,77
1959,76,78
1960,71,83
1961,101,61
1962,85,76
1963,79,83
1964,85,77
1965,89,73
1966,88,74
1967,91,71
1968,103,59
1969,90,72
1970,79,83
1971,91,71
1972,86,70
1973,85,77
1974,72,90
1975,57,102
1976,74,87
1977,74,88
1978,86,76
1979,85,76
1980,84,78
1981,31,26
1981,29,23
1982,83,79
1983,92,70
1984,104,58
1985,84,77
1986,87,75
1987,98,64
1988,88,74
1989,59,103
1990,79,83
1991,84,78
1992,75,87
1993,85,77
1994,53,62
1995,60,84
1996,53,109
1997,79,83
1998,65,97
1999,69,92
2000,79,83
2001,66,96
2002,55,106
2003,43,119
2004,72,90
2005,71,91
2006,95,67
2007,88,74
2008,74,88
2009,86,77
2010,81,81
2011,95,67
2012,88,74
2013,93,69
2014,90,72
2015,74,87
2016,86,75
2017,64,98
2018,64,98
2019,47,114
2020,23,35